20/02/2026 09:37:58;B6 F8 85 F4
20/02/2026 09:38:11;B6 F8 85 F4
20/02/2026 10:55:13;B6 F8 85 F4
20/02/2026 10:55:22;B6 F8 85 F4
20/02/2026 10:56:17;B6 F8 85 F4
20/02/2026 10:56:40;B6 F8 85 F4
20/02/2026 10:56:58;B6 F8 85 F4
11/03/2026 09:19:22;B6 F8 85 F4
11/03/2026 09:19:54;B6 F8 85 F4
11/03/2026 09:20:19;B6 F8 85 F4
11/03/2026 09:20:59;B6 F8 85 F4
11/03/2026 09:21:05;B6 F8 85 F4
11/03/2026 09:21:14;B6 F8 85 F4
11/03/2026 09:21:25;B6 F8 85 F4
11/03/2026 09:21:30;B6 F8 85 F4
11/03/2026 09:21:35;B6 F8 85 F4
11/03/2026 09:24:53;B6 F8 85 F4
11/03/2026 09:25:02;B6 F8 85 F4
11/03/2026 09:25:33;B6 F8 85 F4
11/03/2026 09:26:28;B6 F8 85 F4
11/03/2026 09:26:57;B6 F8 85 F4
11/03/2026 09:28:01;B6 F8 85 F4
11/03/2026 09:28:30;B6 F8 85 F4
11/03/2026 09:29:45;B6 F8 85 F4
13/03/2026 09:37:27;B6 F8 85 F4
13/03/2026 09:38:13;B6 F8 85 F4
13/03/2026 09:43:12;B6 F8 85 F4
13/03/2026 09:43:38;B6 F8 85 F4
13/03/2026 09:44:10;B6 F8 85 F4
13/03/2026 09:45:44;B6 F8 85 F4
13/03/2026 09:45:56;B6 F8 85 F4
13/03/2026 09:46:09;B6 F8 85 F4
13/03/2026 09:48:12;B6 F8 85 F4
13/03/2026 09:49:24;B6 F8 85 F4
13/03/2026 09:49:34;B6 F8 85 F4
13/03/2026 09:50:15;B6 F8 85 F4
13/03/2026 10:34:38;B6 F8 85 F4
13/03/2026 10:35:53;B6 F8 85 F4
13/03/2026 10:35:57;36 17 7C F4
13/03/2026 10:36:00;36 93 86 F4
13/03/2026 10:36:05;36 93 86 F4
13/03/2026 10:36:12;B6 F8 85 F4
13/03/2026 10:36:15;36 17 7C F4
13/03/2026 10:36:42;B6 F8 85 F4
13/03/2026 10:36:44;36 93 86 F4
13/03/2026 10:36:48;36 17 7C F4
13/03/2026 10:41:23;36 93 86 F4
13/03/2026 10:43:42;B6 F8 85 F4
13/03/2026 10:52:50;B6 F8 85 F4
13/03/2026 10:56:03;B6 F8 85 F4
13/03/2026 10:56:27;B6 F8 85 F4
13/03/2026 11:12:56;36 93 86 F4
13/03/2026 11:13:17;36 93 86 F4
13/03/2026 12:02:06;36 17 7C F4
13/03/2026 12:02:39;36 93 86 F4
10/04/2026 11:01:10;B6 F8 85 F4
10/04/2026 11:01:20;B6 F8 85 F4
10/04/2026 11:01:26;B6 F8 85 F4
10/04/2026 11:01:35;B6 F8 85 F4
10/04/2026 11:04:24;B6 F8 85 F4
10/04/2026 11:14:04;B6 F8 85 F4
10/04/2026 11:14:11;B6 F8 85 F4
10/04/2026 11:14:31;B6 F8 85 F4
10/04/2026 11:48:20;B6 F8 85 F4
10/04/2026 11:48:22;B6 F8 85 F4
10/04/2026 11:48:37;B6 F8 85 F4
10/04/2026 11:48:45;B6 F8 85 F4
10/04/2026 11:48:48;B6 F8 85 F4
10/04/2026 11:48:54;B6 F8 85 F4
10/04/2026 11:48:57;B6 F8 85 F4
10/04/2026 11:49:00;B6 F8 85 F4
10/04/2026 11:49:04;B6 F8 85 F4
10/04/2026 11:49:08;B6 F8 85 F4
10/04/2026 11:49:14;B6 F8 85 F4
04/06/2026 10:44:39;B6 F8 85 F4
04/06/2026 10:45:56;B6 F8 85 F4
04/06/2026 10:48:17;B6 F8 85 F4
04/06/2026 10:48:56;B6 F8 85 F4
